ctx-rh-R_ProS_ROI	R_ProS
ctx-rh-R_PeEc_ROI	R_PeEc
ctx-rh-R_STGa_ROI	R_STGa
ctx-rh-R_PBelt_ROI	R_PBelt
ctx-rh-R_A5_ROI	R_A5
ctx-rh-R_PHA1_ROI	R_PHA1
ctx-rh-R_PHA3_ROI	R_PHA3
ctx-rh-R_STSda_ROI	R_STSda
ctx-rh-R_STSdp_ROI	R_STSdp
ctx-rh-R_STSvp_ROI	R_STSvp
ctx-rh-R_TGd_ROI	R_TGd
ctx-rh-R_TE1a_ROI	R_TE1a
ctx-rh-R_TE1p_ROI	R_TE1p
ctx-rh-R_TE2a_ROI	R_TE2a
ctx-rh-R_TF_ROI	R_TF
ctx-rh-R_TE2p_ROI	R_TE2p
ctx-rh-R_PHT_ROI	R_PHT
ctx-rh-R_PH_ROI	R_PH
ctx-rh-R_TPOJ1_ROI	R_TPOJ1
ctx-rh-R_TPOJ2_ROI	R_TPOJ2
ctx-rh-R_TPOJ3_ROI	R_TPOJ3
ctx-rh-R_DVT_ROI	R_DVT
ctx-rh-R_PGp_ROI	R_PGp
ctx-rh-R_IP2_ROI	R_IP2
ctx-rh-R_IP1_ROI	R_IP1
ctx-rh-R_IP0_ROI	R_IP0
ctx-rh-R_PFop_ROI	R_PFop
ctx-rh-R_PF_ROI	R_PF
ctx-rh-R_PFm_ROI	R_PFm
ctx-rh-R_PGi_ROI	R_PGi
ctx-rh-R_PGs_ROI	R_PGs
ctx-rh-R_V6A_ROI	R_V6A
ctx-rh-R_VMV1_ROI	R_VMV1
ctx-rh-R_VMV3_ROI	R_VMV3
ctx-rh-R_PHA2_ROI	R_PHA2
ctx-rh-R_V4t_ROI	R_V4t
ctx-rh-R_FST_ROI	R_FST
ctx-rh-R_V3CD_ROI	R_V3CD
ctx-rh-R_LO3_ROI	R_LO3
ctx-rh-R_VMV2_ROI	R_VMV2
ctx-rh-R_31pd_ROI	R_31pd
ctx-rh-R_31a_ROI	R_31a
ctx-rh-R_VVC_ROI	R_VVC
ctx-rh-R_25_ROI	R_25
ctx-rh-R_s32_ROI	R_s32
ctx-rh-R_pOFC_ROI	R_pOFC
ctx-rh-R_PoI1_ROI	R_PoI1
ctx-rh-R_Ig_ROI	R_Ig
ctx-rh-R_FOP5_ROI	R_FOP5
ctx-rh-R_p10p_ROI	R_p10p
ctx-rh-R_p47r_ROI	R_p47r
ctx-rh-R_TGv_ROI	R_TGv
ctx-rh-R_MBelt_ROI	R_MBelt
ctx-rh-R_LBelt_ROI	R_LBelt
ctx-rh-R_A4_ROI	R_A4
ctx-rh-R_STSva_ROI	R_STSva
ctx-rh-R_TE1m_ROI	R_TE1m
ctx-rh-R_PI_ROI	R_PI
ctx-rh-R_a32pr_ROI	R_a32pr
ctx-rh-R_p24_ROI	R_p24
